Order_ID,Date,Brand,Category,Subcategory,Price_USD,Discount_%,Units_Sold,Revenue_USD,Rating,Num_Reviews,Region,Country,Sales_Channel,Customer_Gender,Customer_Age_Group,Customer_Skin_Type
ORD00020,2024-04-29,Nykaa,Bath & Body,Soap,12.01,20,24,288.24,3.7,6,South,India,Online,Unisex,40-49,Combination
ORD00021,2023-02-25,The Body Shop,Fragrance,Deodorant,77.11,0,60,4626.6,4.2,16,North,UAE,In-Store,Female,20-29,Dry
ORD00022,2023-05-24,The Body Shop,Makeup,Blush,66.1,20,27,1784.7,3.8,4,South,UK,In-Store,Female,13-19,Normal
ORD00023,2024-10-29,L'Oreal,Bath & Body,Body Lotion,98.71,0,1,98.71,4.2,0,North,USA,Online,Male,40-49,Normal
ORD00024,2023-06-18,L'Oreal,Makeup,Eyeliner,42.5,20,44,1870.0,4.2,9,North,UAE,In-Store,Male,30-39,Normal
ORD00025,2023-07-14,MAC,Bath & Body,Soap,45.54,10,49,2231.46,3.0,5,South,India,Online,Unisex,30-39,Oily
ORD00026,2024-05-29,The Body Shop,Skincare,Face Mask,7.32,0,52,380.64,5.0,6,North,Germany,Online,Female,13-19,Sensitive
ORD00027,2023-05-03,Sugar Cosmetics,Skincare,Sunscreen,109.27,5,30,3278.1,3.7,8,Central,Germany,Online,Unisex,13-19,Normal
ORD00028,2023-07-29,Lakme,Bath & Body,Hand Cream,31.32,15,108,3382.56,4.5,25,South,UK,In-Store,Female,30-39,Normal
ORD00029,2024-04-14,L'Oreal,Haircare,Shampoo,46.03,0,126,5799.78,4.8,9,North,Germany,Online,Unisex,30-39,Dry
ORD00030,2024-01-14,Nykaa,Haircare,Shampoo,100.73,10,20,2014.6,3.7,3,South,UAE,In-Store,Unisex,50+,Oily
ORD00031,2023-05-18,Maybelline,Bath & Body,Hand Cream,82.28,10,50,4114.0,3.8,10,North,India,Online,Male,30-39,Sensitive
ORD00032,2024-10-11,Nykaa,Makeup,Mascara,23.4,10,22,514.8,4.9,1,Central,UAE,In-Store,Female,13-19,Normal
ORD00033,2023-12-08,L'Oreal,Haircare,Shampoo,42.9,0,37,1587.3,4.3,9,East,USA,In-Store,Unisex,40-49,Sensitive
ORD00034,2023-06-02,Maybelline,Skincare,Moisturizer,67.96,0,10,679.6,4.1,2,East,Germany,Online,Male,20-29,Oily
ORD00035,2024-01-02,L'Oreal,Haircare,Hair Oil,108.35,5,12,1300.2,4.7,2,South,India,In-Store,Unisex,40-49,Sensitive
ORD00036,2023-07-01,MAC,Makeup,Foundation,107.96,20,60,6477.6,4.2,4,North,USA,In-Store,Male,20-29,Combination
ORD00037,2023-02-09,Sugar Cosmetics,Makeup,Lipstick,21.91,25,59,1292.69,4.5,4,South,USA,In-Store,Male,30-39,Dry
ORD00038,2024-02-13,Nykaa,Makeup,Lipstick,80.63,15,162,13062.06,4.3,17,East,India,In-Store,Male,50+,Normal
ORD00039,2023-04-29,L'Oreal,Bath & Body,Hand Cream,86.32,10,26,2244.32,3.3,5,South,Germany,In-Store,Female,13-19,Sensitive
ORD00040,2024-03-22,Revlon,Fragrance,Deodorant,102.36,0,89,9110.04,5.0,12,West,Germany,Online,Male,13-19,Normal
ORD00041,2024-11-17,Nivea,Skincare,Face Mask,34.03,5,92,3130.76,3.9,22,East,UAE,Online,Unisex,30-39,Sensitive
ORD00042,2024-06-03,Lakme,Haircare,Shampoo,61.81,10,40,2472.4,5.0,9,West,UK,In-Store,Unisex,30-39,Sensitive
ORD00043,2024-11-11,Sugar Cosmetics,Makeup,Foundation,35.85,20,51,1828.35,3.9,14,South,Germany,In-Store,Male,50+,Oily
ORD00044,2024-03-16,Nykaa,Haircare,Hair Oil,114.61,15,41,4699.01,4.4,11,West,UAE,In-Store,Unisex,20-29,Sensitive
ORD00045,2024-11-05,MAC,Fragrance,Body Mist,53.1,0,34,1805.4,4.5,8,East,Germany,In-Store,Female,20-29,Combination
ORD00046,2023-01-26,MAC,Makeup,Foundation,40.08,0,58,2324.64,3.3,12,South,UAE,Online,Male,40-49,Sensitive
ORD00047,2024-02-14,The Body Shop,Makeup,Eyeliner,69.7,5,59,4112.3,3.5,5,South,India,Online,Male,20-29,Dry
ORD00048,2024-07-24,L'Oreal,Bath & Body,Soap,63.64,5,65,4136.6,4.3,14,North,UAE,Online,Male,50+,Sensitive
ORD00049,2024-09-19,The Body Shop,Bath & Body,Hand Cream,45.06,20,93,4190.58,3.6,24,Central,UAE,Online,Unisex,40-49,Normal
ORD00050,2024-06-17,Lakme,Haircare,Conditioner,109.85,25,72,7909.2,5.0,15,South,UK,In-Store,Female,30-39,Dry
ORD00051,2024-07-07,Revlon,Haircare,Hair Oil,85.13,0,59,5022.67,4.1,8,South,USA,Online,Male,20-29,Dry
ORD00052,2023-12-05,Sugar Cosmetics,Skincare,Serum,14.0,25,33,462.0,4.0,6,West,India,Online,Male,40-49,Sensitive
ORD00053,2024-05-03,Sugar Cosmetics,Skincare,Face Mask,36.53,0,35,1278.55,4.0,8,East,UK,In-Store,Male,50+,Sensitive
ORD00054,2023-08-13,The Body Shop,Bath & Body,Body Wash,45.14,10,52,2347.28,3.4,5,West,UAE,Online,Male,30-39,Normal
ORD00055,2024-09-29,MAC,Makeup,Eyeliner,75.88,0,211,16010.68,5.0,48,West,Germany,Online,Female,40-49,Dry
ORD00056,2023-09-24,L'Oreal,Fragrance,Perfume,117.17,20,5,585.85,4.1,0,East,USA,In-Store,Male,30-39,Normal
ORD00057,2023-03-25,Lakme,Haircare,Hair Serum,54.36,25,25,1359.0,5.0,2,North,Germany,Online,Male,20-29,Oily
ORD00058,2023-07-24,Nykaa,Skincare,Moisturizer,32.28,0,154,4971.12,4.2,18,Central,USA,Online,Female,40-49,Oily
ORD00059,2023-09-20,The Body Shop,Bath & Body,Body Wash,114.72,15,66,7571.52,5.0,10,South,Germany,Online,Female,30-39,Oily
ORD00060,2024-08-12,Lakme,Bath & Body,Body Lotion,31.98,20,116,3709.68,3.6,9,West,USA,Online,Unisex,20-29,Oily
ORD00061,2024-08-02,Maybelline,Haircare,Hair Mask,8.38,0,41,343.58,5.0,7,East,Germany,In-Store,Unisex,30-39,Oily
ORD00062,2024-03-06,L'Oreal,Bath & Body,Hand Cream,58.4,25,40,2336.0,3.3,8,North,UAE,In-Store,Unisex,40-49,Dry
ORD00063,2024-10-28,Nivea,Fragrance,Perfume,77.31,10,45,3478.95,3.7,7,Central,Germany,In-Store,Male,40-49,Sensitive
ORD00064,2023-03-30,Nykaa,Haircare,Hair Oil,103.21,10,20,2064.2,4.3,4,West,USA,In-Store,Unisex,50+,Normal
ORD00065,2023-11-29,The Body Shop,Haircare,Shampoo,6.1,0,79,481.9,4.1,11,West,USA,In-Store,Male,30-39,Combination
ORD00066,2023-01-11,Nivea,Bath & Body,Hand Cream,78.26,5,6,469.56,4.2,0,North,USA,In-Store,Male,50+,Dry
ORD00067,2024-04-03,The Body Shop,Fragrance,Body Mist,40.32,0,29,1169.28,3.6,6,North,UK,Online,Male,20-29,Combination
ORD00068,2024-07-20,The Body Shop,Bath & Body,Hand Cream,76.59,15,37,2833.83,4.5,4,West,Germany,In-Store,Male,40-49,Combination
ORD00069,2023-05-04,Nykaa,Haircare,Hair Oil,23.76,5,78,1853.28,2.9,19,East,India,Online,Female,20-29,Normal
ORD00070,2024-09-03,Nivea,Haircare,Hair Mask,42.87,10,16,685.92,3.9,3,North,USA,In-Store,Female,30-39,Dry
ORD00071,2023-05-10,Nivea,Haircare,Shampoo,91.28,10,105,9584.4,4.0,26,North,India,In-Store,Unisex,20-29,Normal
ORD00072,2023-10-19,Himalaya,Skincare,Moisturizer,40.45,25,95,3842.75,4.2,27,West,UAE,In-Store,Female,13-19,Combination
ORD00073,2024-02-15,Maybelline,Fragrance,Perfume,70.09,25,45,3154.05,2.9,5,North,Germany,Online,Female,20-29,Sensitive
ORD00074,2023-05-02,Nykaa,Haircare,Shampoo,81.68,20,34,2777.12,4.4,2,Central,Germany,Online,Unisex,40-49,Normal
ORD00075,2024-03-15,Himalaya,Fragrance,Deodorant,60.85,10,78,4746.3,2.7,21,Central,Germany,Online,Unisex,13-19,Dry
ORD00076,2023-06-10,Maybelline,Makeup,Mascara,44.06,5,154,6785.24,4.2,31,South,Germany,Online,Female,13-19,Normal
ORD00077,2024-04-26,Himalaya,Fragrance,Body Mist,14.83,10,31,459.73,3.7,7,North,USA,In-Store,Unisex,30-39,Normal
ORD00078,2024-10-02,Lakme,Skincare,Sunscreen,85.63,5,58,4966.54,3.1,14,West,India,Online,Unisex,20-29,Combination
ORD00079,2023-06-19,L'Oreal,Makeup,Lipstick,113.83,10,28,3187.24,4.8,6,Central,Germany,In-Store,Male,13-19,Normal
ORD00080,2024-05-27,Lakme,Haircare,Hair Serum,68.33,25,91,6218.03,3.9,15,West,India,Online,Male,30-39,Sensitive
ORD00081,2023-08-23,Maybelline,Haircare,Shampoo,4.33,0,27,116.91,4.0,2,East,Germany,Online,Female,40-49,Sensitive
ORD00082,2024-08-22,MAC,Fragrance,Deodorant,78.96,20,72,5685.12,4.9,10,West,India,In-Store,Male,40-49,Combination
ORD00083,2023-12-04,MAC,Haircare,Shampoo,36.43,20,37,1347.91,4.3,1,West,UK,In-Store,Unisex,13-19,Normal
ORD00084,2023-11-28,Lakme,Skincare,Face Wash,116.48,0,59,6872.32,4.0,11,West,Germany,Online,Unisex,50+,Normal
ORD00085,2024-06-14,Nykaa,Fragrance,Perfume,116.41,15,200,23282.0,4.2,32,Central,UAE,In-Store,Female,20-29,Combination
ORD00086,2024-03-24,Lakme,Bath & Body,Body Wash,76.42,25,91,6954.22,4.1,10,North,India,Online,Unisex,20-29,Combination
ORD00087,2024-02-22,Nivea,Bath & Body,Body Lotion,114.2,0,45,5139.0,4.6,5,South,India,In-Store,Female,20-29,Normal
ORD00088,2024-03-01,Lakme,Haircare,Hair Mask,25.01,25,4,100.04,3.7,0,West,USA,In-Store,Unisex,20-29,Normal
ORD00089,2023-05-20,Nivea,Makeup,Blush,117.0,0,6,702.0,4.2,1,East,UAE,In-Store,Unisex,30-39,Oily
ORD00090,2024-08-16,Himalaya,Haircare,Hair Oil,22.03,25,14,308.42,5.0,3,South,UAE,In-Store,Male,30-39,Sensitive
ORD00091,2023-11-26,The Body Shop,Bath & Body,Soap,8.29,5,47,389.63,3.8,13,South,Germany,In-Store,Female,40-49,Oily
ORD00092,2024-01-31,Sugar Cosmetics,Haircare,Hair Serum,20.6,0,122,2513.2,3.9,18,West,India,Online,Unisex,50+,Combination
ORD00093,2024-06-22,Maybelline,Skincare,Serum,34.99,25,114,3988.86,4.2,34,North,USA,In-Store,Unisex,20-29,Oily
ORD00094,2024-09-30,Revlon,Fragrance,Deodorant,119.61,20,62,7415.82,3.7,10,North,UK,In-Store,Male,40-49,Sensitive
ORD00095,2023-08-29,Maybelline,Skincare,Face Mask,18.11,10,78,1412.58,3.2,16,South,India,In-Store,Female,13-19,Normal
ORD00096,2023-02-17,L'Oreal,Makeup,Mascara,75.32,15,73,5498.36,4.2,13,North,UK,In-Store,Male,40-49,Dry
ORD00097,2024-08-02,Sugar Cosmetics,Makeup,Blush,93.36,0,26,2427.36,4.1,4,South,USA,Online,Unisex,40-49,Sensitive
ORD00098,2023-05-27,Himalaya,Makeup,Eyeliner,105.57,5,109,11507.13,4.4,24,West,UK,In-Store,Male,13-19,Normal
ORD00099,2023-03-17,MAC,Haircare,Hair Mask,27.92,25,123,3434.16,3.0,19,East,Germany,In-Store,Unisex,40-49,Combination
ORD00100,2024-01-29,Nykaa,Fragrance,Deodorant,108.79,25,129,14033.91,4.9,19,North,USA,In-Store,Unisex,30-39,Sensitive
ORD00101,2024-11-05,L'Oreal,Haircare,Hair Oil,75.78,20,52,3940.56,4.0,5,East,India,Online,Unisex,40-49,Combination
ORD00102,2023-08-13,Revlon,Makeup,Blush,56.72,5,87,4934.64,2.8,18,Central,UK,Online,Unisex,13-19,Oily
ORD00103,2024-08-16,L'Oreal,Haircare,Hair Serum,31.1,15,46,1430.6,3.3,6,South,India,In-Store,Male,40-49,Dry
ORD00104,2024-01-10,Nivea,Makeup,Foundation,107.92,10,71,7662.32,3.4,6,South,UK,In-Store,Male,30-39,Oily
ORD00105,2023-08-20,MAC,Fragrance,Perfume,7.78,20,72,560.16,3.5,5,Central,UK,Online,Male,13-19,Combination
ORD00106,2024-01-13,The Body Shop,Bath & Body,Body Lotion,17.11,10,31,530.41,3.7,5,Central,UAE,In-Store,Female,20-29,Normal
ORD00107,2023-12-02,Nivea,Skincare,Face Mask,83.78,5,16,1340.48,4.3,1,North,UAE,In-Store,Unisex,40-49,Oily
ORD00108,2023-11-08,L'Oreal,Makeup,Lipstick,105.21,25,112,11783.52,3.9,28,North,India,Online,Unisex,20-29,Normal
ORD00109,2024-03-05,Nivea,Fragrance,Deodorant,90.55,0,41,3712.55,3.7,7,West,India,In-Store,Unisex,40-49,Combination
ORD00110,2024-03-30,Nykaa,Skincare,Face Wash,75.34,25,15,1130.1,5.0,0,South,UK,Online,Unisex,30-39,Sensitive
ORD00111,2023-10-10,Sugar Cosmetics,Haircare,Shampoo,32.54,5,40,1301.6,4.0,7,North,UAE,Online,Unisex,20-29,Sensitive
ORD00112,2023-09-07,Revlon,Skincare,Moisturizer,15.54,0,97,1507.38,3.0,11,Central,USA,Online,Unisex,20-29,Sensitive
ORD00113,2023-06-01,Revlon,Makeup,Foundation,47.14,0,58,2734.12,3.4,7,East,USA,Online,Unisex,30-39,Dry
ORD00114,2023-01-16,MAC,Skincare,Moisturizer,17.01,15,28,476.28,5.0,6,South,Germany,In-Store,Female,20-29,Combination
ORD00115,2024-06-22,Sugar Cosmetics,Skincare,Sunscreen,61.32,0,92,5641.44,5.0,21,North,UAE,In-Store,Male,50+,Sensitive
ORD00116,2023-08-15,Nivea,Skincare,Serum,53.5,0,100,5350.0,3.5,21,Central,UK,In-Store,Unisex,13-19,Oily
ORD00117,2023-04-21,Sugar Cosmetics,Fragrance,Deodorant,69.78,25,13,907.14,4.0,1,West,India,Online,Male,50+,Dry
ORD00118,2024-10-01,Lakme,Skincare,Sunscreen,14.91,15,55,820.05,3.6,5,West,Germany,In-Store,Male,50+,Sensitive
ORD00119,2024-11-01,Maybelline,Fragrance,Perfume,36.36,5,33,1199.88,2.5,9,West,UAE,Online,Male,30-39,Normal
ORD00120,2023-11-17,Maybelline,Fragrance,Deodorant,16.11,20,81,1304.91,3.7,7,East,UK,In-Store,Female,40-49,Oily
ORD00121,2024-03-18,Maybelline,Skincare,Moisturizer,81.23,0,85,6904.55,5.0,10,East,USA,Online,Unisex,50+,Sensitive
ORD00122,2023-12-29,Sugar Cosmetics,Haircare,Shampoo,93.03,20,142,13210.26,3.5,25,North,UK,In-Store,Male,13-19,Sensitive
ORD00123,2024-11-03,MAC,Bath & Body,Body Wash,31.36,25,7,219.52,3.1,1,South,India,In-Store,Unisex,30-39,Oily
ORD00124,2024-03-15,Nykaa,Haircare,Hair Mask,21.06,0,87,1832.22,3.6,11,Central,UK,Online,Female,30-39,Combination
ORD00125,2023-07-05,L'Oreal,Haircare,Hair Oil,18.73,0,51,955.23,3.6,11,Central,UAE,Online,Female,13-19,Oily
ORD00126,2024-03-05,Sugar Cosmetics,Bath & Body,Body Wash,91.95,25,85,7815.75,2.5,11,East,USA,In-Store,Male,30-39,Sensitive
ORD00127,2023-06-09,L'Oreal,Bath & Body,Body Lotion,111.75,0,25,2793.75,4.1,2,Central,India,Online,Male,40-49,Normal
ORD00128,2024-02-29,The Body Shop,Fragrance,Body Mist,10.78,10,53,571.34,4.7,4,South,Germany,Online,Male,40-49,Oily
ORD00129,2024-06-23,The Body Shop,Haircare,Hair Mask,96.05,10,60,5763.0,3.8,15,North,USA,In-Store,Unisex,13-19,Oily
ORD00130,2023-05-21,Nykaa,Makeup,Mascara,80.83,10,38,3071.54,4.5,5,East,UK,Online,Female,40-49,Normal
ORD00131,2024-06-29,Sugar Cosmetics,Makeup,Foundation,98.54,5,38,3744.52,3.6,4,Central,Germany,In-Store,Female,40-49,Oily
ORD00132,2023-03-21,The Body Shop,Fragrance,Perfume,90.47,15,3,271.41,4.2,0,Central,UAE,In-Store,Unisex,40-49,Combination
ORD00133,2023-11-29,L'Oreal,Skincare,Serum,66.6,0,41,2730.6,3.5,11,Central,UAE,In-Store,Female,40-49,Oily
ORD00134,2024-02-15,Himalaya,Makeup,Eyeliner,76.44,0,61,4662.84,4.2,12,West,UK,In-Store,Female,30-39,Dry
ORD00135,2024-06-27,Maybelline,Skincare,Face Mask,65.41,5,35,2289.35,3.7,4,East,UK,Online,Female,13-19,Dry
ORD00136,2024-09-08,MAC,Haircare,Conditioner,32.07,0,67,2148.69,4.0,16,North,USA,In-Store,Male,50+,Sensitive
ORD00137,2024-10-20,Himalaya,Fragrance,Body Mist,105.58,15,33,3484.14,4.8,2,East,USA,In-Store,Female,40-49,Normal
ORD00138,2023-02-27,Himalaya,Haircare,Hair Oil,29.82,15,34,1013.88,4.5,7,Central,India,In-Store,Male,40-49,Oily
ORD00139,2023-03-20,Lakme,Skincare,Face Wash,66.5,0,123,8179.5,3.4,34,Central,Germany,In-Store,Male,50+,Sensitive
ORD00140,2024-10-29,Himalaya,Skincare,Serum,71.26,5,32,2280.32,4.4,2,East,Germany,In-Store,Unisex,20-29,Oily
ORD00141,2023-03-28,Revlon,Fragrance,Perfume,71.59,0,47,3364.73,3.9,12,North,USA,In-Store,Male,50+,Sensitive
ORD00142,2024-01-17,Revlon,Bath & Body,Body Wash,112.06,10,51,5715.06,4.3,11,West,UAE,In-Store,Unisex,50+,Oily
ORD00143,2023-04-07,Revlon,Haircare,Shampoo,20.85,20,59,1230.15,3.2,13,East,UK,Online,Male,13-19,Sensitive
ORD00144,2024-11-02,Lakme,Makeup,Mascara,112.32,20,164,18420.48,3.4,48,South,Germany,Online,Male,50+,Normal
ORD00145,2023-04-06,Nivea,Haircare,Conditioner,101.15,20,45,4551.75,5.0,6,Central,UK,Online,Male,30-39,Dry
ORD00146,2023-07-16,The Body Shop,Makeup,Mascara,9.41,5,73,686.93,3.4,13,South,USA,Online,Male,13-19,Sensitive
ORD00147,2024-09-24,Revlon,Bath & Body,Body Lotion,110.62,0,9,995.58,4.8,1,Central,UAE,Online,Female,20-29,Sensitive
ORD00148,2024-02-25,L'Oreal,Makeup,Eyeliner,29.28,15,24,702.72,3.9,4,South,UAE,In-Store,Unisex,40-49,Dry
ORD00149,2024-04-25,Lakme,Bath & Body,Body Wash,52.01,5,40,2080.4,4.6,8,East,Germany,In-Store,Male,30-39,Normal
ORD00150,2023-07-24,MAC,Bath & Body,Soap,4.53,0,7,31.71,3.8,0,East,India,In-Store,Male,50+,Oily
ORD00151,2023-03-27,Lakme,Bath & Body,Body Lotion,119.63,0,18,2153.34,3.6,4,East,UAE,Online,Male,13-19,Dry
ORD00152,2024-02-29,L'Oreal,Fragrance,Deodorant,27.56,0,56,1543.36,3.7,3,West,Germany,In-Store,Female,40-49,Oily
ORD00153,2023-11-23,L'Oreal,Haircare,Conditioner,58.23,0,31,1805.13,4.8,4,East,USA,Online,Female,30-39,Normal
ORD00154,2024-09-22,The Body Shop,Makeup,Eyeliner,49.89,0,37,1845.93,3.8,10,North,India,In-Store,Female,20-29,Sensitive
ORD00155,2023-10-23,Maybelline,Bath & Body,Soap,46.68,5,89,4154.52,3.2,5,East,India,Online,Female,40-49,Sensitive
ORD00156,2024-05-26,Maybelline,Fragrance,Perfume,21.27,0,95,2020.65,4.8,10,Central,Germany,Online,Unisex,20-29,Combination
ORD00157,2023-12-28,Himalaya,Fragrance,Perfume,30.04,5,53,1592.12,3.9,11,Central,UAE,Online,Unisex,13-19,Sensitive
ORD00158,2024-07-11,Nivea,Haircare,Shampoo,30.87,0,41,1265.67,3.8,10,West,UAE,Online,Unisex,40-49,Combination
ORD00159,2023-03-11,Revlon,Haircare,Shampoo,100.14,15,144,14420.16,3.4,17,South,India,In-Store,Female,13-19,Combination
ORD00160,2024-04-20,MAC,Bath & Body,Hand Cream,107.87,25,63,6795.81,3.2,17,South,USA,Online,Unisex,40-49,Oily
ORD00161,2023-07-24,L'Oreal,Haircare,Conditioner,98.64,0,15,1479.6,3.5,2,East,UK,In-Store,Unisex,40-49,Combination
ORD00162,2024-01-01,Lakme,Skincare,Sunscreen,34.36,0,14,481.04,5.0,2,East,UK,Online,Male,40-49,Normal
ORD00163,2023-07-11,Revlon,Fragrance,Deodorant,37.45,25,97,3632.65,4.0,15,West,UK,In-Store,Female,40-49,Oily
ORD00164,2024-07-12,MAC,Fragrance,Body Mist,5.63,10,62,349.06,3.0,7,East,India,Online,Male,30-39,Combination
ORD00165,2023-06-20,Sugar Cosmetics,Fragrance,Body Mist,19.3,25,14,270.2,4.1,0,East,UAE,Online,Unisex,30-39,Sensitive
ORD00166,2023-03-18,L'Oreal,Fragrance,Deodorant,109.97,20,57,6268.29,3.4,10,East,Germany,Online,Female,20-29,Sensitive
ORD00167,2023-03-10,MAC,Fragrance,Perfume,79.22,5,33,2614.26,4.3,2,East,UK,In-Store,Unisex,13-19,Sensitive
ORD00168,2024-01-16,Revlon,Makeup,Eyeliner,108.3,25,60,6498.0,4.6,12,North,Germany,Online,Unisex,30-39,Normal
ORD00169,2023-04-27,Nykaa,Haircare,Hair Oil,23.52,0,44,1034.88,4.5,7,South,UAE,In-Store,Unisex,13-19,Combination
ORD00170,2024-09-18,Nykaa,Haircare,Hair Serum,8.5,10,72,612.0,3.6,14,West,USA,Online,Female,13-19,Normal
ORD00171,2024-11-29,Maybelline,Makeup,Eyeliner,31.71,15,11,348.81,3.5,2,East,India,In-Store,Male,20-29,Dry
ORD00172,2023-05-05,Nykaa,Haircare,Hair Mask,37.76,5,21,792.96,5.0,5,South,USA,In-Store,Female,30-39,Sensitive
ORD00173,2024-07-18,The Body Shop,Bath & Body,Hand Cream,88.71,0,77,6830.67,3.1,13,Central,India,Online,Male,40-49,Normal
ORD00174,2024-08-11,Sugar Cosmetics,Bath & Body,Soap,72.83,0,109,7938.47,3.6,7,South,UK,Online,Male,40-49,Sensitive
ORD00175,2024-10-17,Nivea,Haircare,Conditioner,88.2,0,172,15170.4,4.0,19,South,UAE,Online,Female,50+,Dry
ORD00176,2023-11-27,MAC,Haircare,Conditioner,98.83,5,78,7708.74,4.6,15,East,Germany,In-Store,Female,30-39,Dry
ORD00177,2024-10-02,MAC,Bath & Body,Hand Cream,45.23,10,14,633.22,3.9,3,Central,Germany,Online,Unisex,20-29,Sensitive
ORD00178,2024-11-05,MAC,Bath & Body,Body Wash,88.67,15,74,6561.58,4.6,19,Central,India,Online,Female,13-19,Sensitive
ORD00179,2024-03-02,Himalaya,Haircare,Conditioner,32.21,0,47,1513.87,4.5,2,West,Germany,In-Store,Unisex,30-39,Normal
ORD00180,2024-04-09,Lakme,Makeup,Eyeliner,84.6,0,55,4653.0,4.0,14,North,USA,In-Store,Male,40-49,Normal
ORD00181,2023-05-28,Himalaya,Makeup,Mascara,101.81,15,81,8246.61,3.2,6,East,UK,In-Store,Female,30-39,Sensitive
ORD00182,2023-09-05,Revlon,Bath & Body,Body Lotion,12.0,25,72,864.0,4.8,4,North,UK,In-Store,Female,20-29,Oily
ORD00183,2024-09-22,Sugar Cosmetics,Skincare,Face Wash,39.89,20,22,877.58,3.6,4,South,USA,In-Store,Unisex,30-39,Dry
ORD00184,2024-04-23,Nivea,Makeup,Eyeliner,106.66,25,102,10879.32,4.0,29,East,UAE,Online,Female,40-49,Sensitive
ORD00185,2024-08-20,Nykaa,Fragrance,Perfume,96.46,15,113,10899.98,3.6,19,North,India,In-Store,Male,50+,Normal
ORD00186,2023-04-21,L'Oreal,Haircare,Hair Mask,76.42,20,34,2598.28,4.9,7,South,UK,In-Store,Male,30-39,Oily
ORD00187,2024-07-29,Himalaya,Fragrance,Perfume,30.94,5,39,1206.66,3.5,4,East,Germany,In-Store,Female,40-49,Sensitive
ORD00188,2024-09-30,Lakme,Fragrance,Body Mist,30.33,0,48,1455.84,4.1,10,South,India,In-Store,Male,30-39,Sensitive
ORD00189,2024-09-08,Nykaa,Haircare,Conditioner,28.54,20,43,1227.22,3.5,12,Central,India,Online,Female,20-29,Combination
ORD00190,2023-06-02,The Body Shop,Fragrance,Body Mist,57.69,0,66,3807.54,4.1,13,East,Germany,In-Store,Female,40-49,Sensitive
ORD00191,2024-06-03,Revlon,Haircare,Hair Mask,62.98,25,71,4471.58,3.7,6,Central,UK,In-Store,Female,30-39,Combination
ORD00192,2023-11-12,Himalaya,Skincare,Serum,94.21,0,30,2826.3,4.9,6,Central,UAE,In-Store,Unisex,50+,Sensitive
ORD00193,2024-05-06,Himalaya,Makeup,Lipstick,21.01,0,30,630.3,3.6,5,Central,Germany,In-Store,Female,20-29,Oily
